region,plan,age,income,usage_hours,satisfaction
W,max,30.0,36659.224300259404,7.980606626638328,3.0
S,max,32.0,82053.7475989609,15.012803310600798,1.0
N,pro,25.0,48271.50131088288,10.678151604141428,10.0
E,max,57.0,46383.021620813786,9.404452509401388,5.0
N,max,36.0,43785.28490081356,7.8141874409173395,1.0
N,basic,34.0,77883.55983140662,12.55597885884187,8.0
E,pro,34.0,35622.07211048977,10.230341274925715,5.0
W,max,53.0,47334.793825982175,11.494686938978427,6.0
N,basic,35.0,38204.80841153665,9.210153669129056,5.0
W,basic,53.0,47879.56934684662,8.056379805993977,8.0
N,basic,58.0,49212.52565131073,8.950997843101476,2.0
N,basic,59.0,66233.01358950952,16.396177697176203,3.0
N,basic,31.0,28505.82010713779,6.9995104790640825,10.0
S,pro,53.0,49435.50763824299,7.993435004508836,8.0
E,max,24.0,73995.26202603884,14.70232883781294,3.0
S,max,31.0,42101.324676243436,8.514398303768901,3.0
W,max,28.0,47085.90473768882,8.829692266335627,10.0
N,pro,46.0,36443.335640122634,5.2144405415235,5.0
S,max,63.0,20000.0,6.323666656533325,6.0
S,pro,51.0,48178.27758791375,10.62963714214766,7.0
W,pro,38.0,67382.28917894988,12.89873462367837,8.0
W,pro,29.0,42729.97931180862,5.21783323740131,3.0
S,basic,35.0,22048.398922708162,3.0620052649913223,8.0
S,basic,63.0,53743.100953872556,10.560838715340326,10.0
S,max,55.0,50931.928486862205,11.745024044639713,7.0
E,pro,33.0,64752.81505410821,12.035622769809606,4.0
N,pro,62.0,63403.914259325014,14.723960330374073,9.0
N,basic,35.0,45693.283707932314,9.247525483605923,2.0
S,basic,42.0,55744.04872206508,9.489798756487977,9.0
N,basic,38.0,22755.38595494386,0.0,8.0
W,pro,57.0,66452.93587774243,10.774881919498124,2.0
E,basic,64.0,52534.56233493375,7.360342503669875,6.0
E,pro,30.0,66024.29605115806,12.738206448237047,1.0
E,pro,42.0,65686.52050960509,13.640589817988946,2.0
E,pro,34.0,45434.81707037609,11.707109122977284,5.0
W,pro,24.0,47503.488176389175,9.317077247357652,6.0
W,basic,45.0,36623.43930924428,4.851165277287938,2.0
N,basic,59.0,20000.0,8.549577302034777,9.0
E,max,29.0,47765.42115376105,10.022027495577587,6.0
N,max,18.0,52049.67703675457,9.730278702313258,8.0
S,basic,31.0,33457.89825859821,6.015470141022017,10.0
W,basic,37.0,60422.096415009044,9.230173994108451,7.0
W,basic,27.0,51222.04709384776,11.367425864115567,6.0
W,basic,57.0,56549.25778631367,11.909914464697748,6.0
N,basic,30.0,38200.45481587557,10.671678351911835,2.0
S,basic,42.0,23277.2953167843,6.715443051643019,2.0
N,basic,58.0,61413.805258166074,13.877112301230913,2.0
W,basic,56.0,58910.07828574828,14.15792285014789,6.0
N,basic,56.0,48097.895650497994,8.911952224106967,6.0
N,pro,65.0,43428.403320202146,7.66089275032579,9.0
S,pro,23.0,45589.71362580334,8.88309536062187,8.0
N,basic,49.0,47690.92636839869,6.912333391829925,3.0
W,basic,34.0,42112.65575950742,8.00454486577262,9.0
E,pro,41.0,20000.0,3.211136781329042,8.0
N,basic,52.0,61509.02282634771,13.511733927670578,8.0
S,pro,23.0,27323.64933044411,5.309708012166493,6.0
N,pro,59.0,44752.902813082605,5.009850195449797,5.0
E,max,29.0,45145.832940065346,8.968099163828509,6.0
N,basic,44.0,53665.77292621381,13.44537948230947,9.0
N,basic,44.0,25548.90495083829,1.320545882007428,9.0
N,basic,52.0,67862.13628256347,11.937049690203738,6.0
E,max,56.0,59597.75308301283,11.838586801308956,1.0
E,pro,29.0,61320.5586206949,9.498263000796458,7.0
S,pro,34.0,68790.09721031203,12.547803683774116,3.0
E,basic,55.0,37816.086479775884,7.56517725095736,1.0
S,pro,58.0,20000.0,1.2528991608765319,8.0
N,pro,57.0,54803.85071309535,11.442711394880996,5.0
S,pro,52.0,69512.01481285613,14.616226634532852,9.0
S,pro,37.0,67274.08626274976,10.815279798971773,1.0
W,max,55.0,41817.780209711615,8.316360396607202,10.0
N,basic,29.0,48489.0596004893,11.75820820361579,3.0
N,basic,54.0,54159.44418450671,10.382808636733147,10.0
E,max,19.0,22768.321015081783,5.3294421731126125,4.0
W,pro,52.0,39883.25198650795,9.169318617380858,3.0
W,max,48.0,40351.31482795995,7.5085103164249585,6.0
E,max,43.0,73657.99597512177,16.606731151834843,7.0
N,basic,48.0,40142.213359164605,8.709852285971428,1.0
W,max,47.0,73486.26022253417,12.628472738875029,8.0
E,max,18.0,50135.92464790351,10.987242528183023,8.0
N,basic,50.0,24792.587953878054,6.60587034051678,10.0
S,pro,42.0,83217.12291831606,18.172838078284073,4.0
N,basic,19.0,35383.923391316916,5.710655612652693,6.0
W,pro,63.0,59251.01025984969,12.693494917025188,3.0
E,pro,19.0,75583.80480521645,17.788053855718708,10.0
W,basic,19.0,41972.7967148791,8.784298229513054,10.0
W,max,26.0,31541.368065358085,8.607759195286686,10.0
S,max,24.0,65613.81079929683,15.65686234774006,7.0
W,max,30.0,50981.25983074622,10.058212747189017,4.0
N,basic,20.0,31590.0088017662,7.575971807660202,4.0
N,basic,46.0,33781.975230280295,6.114000783169489,6.0
S,basic,38.0,44155.079553913914,10.907732819831427,2.0
S,pro,51.0,64460.29536351918,12.652568811909571,3.0
S,max,36.0,45694.12952896286,7.982529264214433,5.0
E,max,53.0,59817.80098214184,11.857162639052087,8.0
E,max,59.0,74790.70812985749,14.759114110395986,8.0
N,basic,35.0,69041.37573900996,14.519900964773075,6.0
E,max,21.0,71563.68036752974,15.192020214952768,6.0
S,basic,53.0,68478.58570337883,11.315977236558522,10.0
E,max,27.0,25872.094125217,3.8225108575422317,4.0
S,basic,23.0,68344.1528273858,14.340998187199935,6.0
W,pro,63.0,54928.10829107178,11.90164575930992,2.0
S,pro,63.0,48134.03204182444,9.754035639092857,7.0
E,pro,18.0,33730.26349879722,11.971428493222929,3.0
E,pro,64.0,26164.884604772902,7.431595868565198,7.0
E,max,30.0,33333.502054437005,6.478016521951742,8.0
S,pro,58.0,49679.54007759093,11.359511870891371,1.0
W,pro,36.0,32373.6813843866,9.120272503529474,2.0
N,basic,61.0,37752.87777894582,8.25387223676095,8.0
S,pro,18.0,40749.37129212745,4.633949417503952,10.0
E,max,48.0,59998.07967766412,12.172322625931308,6.0
N,max,31.0,45572.302914816144,9.197024011785018,8.0
N,basic,65.0,47811.58593386426,13.811847900407685,1.0
W,max,46.0,69893.44671466488,10.289977129705484,5.0
W,max,56.0,45181.35539191504,12.118559414908695,10.0
E,pro,47.0,58988.6340074462,11.47789686811898,2.0
W,basic,19.0,34140.53500119542,8.68582767666829,7.0
W,pro,47.0,54937.19513448379,10.400990925338506,5.0
S,pro,36.0,51792.721718447254,10.70969220437087,9.0
E,max,49.0,52630.13562917876,12.792133742195992,10.0
S,pro,26.0,43004.36966106041,8.774677105787546,2.0
E,max,47.0,34541.0241211588,9.023984704767678,2.0
S,max,57.0,45507.061638583065,8.948948367340959,9.0
N,basic,19.0,42980.388590416274,7.7874926722819495,3.0
W,max,37.0,65500.63018643934,12.675218034430646,4.0
E,pro,49.0,63617.51576942521,11.73183326233874,1.0
E,pro,25.0,31968.18187788728,6.16917062737648,5.0
E,basic,46.0,59409.846163199574,14.623825281199487,8.0
W,pro,23.0,42804.02666043066,6.23972371386804,1.0
S,pro,28.0,56883.80516933255,8.076428493499737,10.0
E,pro,23.0,42776.637707054135,8.540652224655496,3.0
N,pro,38.0,27923.48736367743,8.97794286838208,6.0
E,pro,50.0,65244.012393625904,15.167946119470653,6.0
W,max,29.0,56784.43075419054,14.029659408072288,3.0
E,basic,60.0,31614.693341417085,8.853093225670001,1.0
W,basic,59.0,21628.8186190676,2.898184745015034,10.0
S,basic,51.0,41986.642388763714,8.666935010194077,6.0
W,pro,31.0,32272.34569987287,1.1670626356483753,6.0
N,basic,58.0,44541.280439742884,7.725120626580605,2.0
W,pro,25.0,59304.15057492705,13.112927626638477,10.0
S,max,25.0,72036.27377189012,11.332104022896813,8.0
N,basic,56.0,44647.97641532979,4.848312105968158,4.0
E,max,53.0,70660.29590466202,11.575921136516172,5.0
S,pro,54.0,67465.16467320907,13.975012745864897,2.0
S,max,37.0,43483.704248900154,11.079416223283713,9.0
W,pro,58.0,24994.65262596078,10.223611279201432,1.0
N,pro,32.0,62803.86077214514,15.476814603459495,8.0
E,max,50.0,59156.10999601811,8.857277814004203,3.0
S,pro,37.0,85323.81913621479,12.484770322055956,8.0
E,max,38.0,71476.62965776188,14.659847795739466,5.0
S,pro,41.0,61765.350946959836,14.540523789069535,9.0
N,max,40.0,75360.8396116132,11.908059097482752,8.0
E,max,48.0,34320.929958906214,5.895320493116606,9.0
W,max,44.0,52954.988688913545,9.771704968334062,5.0
N,basic,59.0,45956.707856157205,9.3445157174151,1.0
N,basic,46.0,76200.33727958833,14.970048858447013,3.0
N,pro,65.0,58547.20851547968,12.836232397324308,5.0
S,pro,63.0,20000.0,6.2138137954197585,10.0
W,max,62.0,70643.82591894318,14.374914685012739,3.0
N,basic,30.0,36495.492040974656,8.906415526855291,6.0
W,basic,59.0,61772.523474197886,16.451205147731848,8.0
E,pro,54.0,42944.08432465539,6.6584793941173706,7.0
N,basic,50.0,53813.30588459203,8.78410697743212,4.0
S,pro,18.0,59688.03849900054,13.07647979067404,9.0
N,pro,47.0,53080.96849040881,14.444780586063274,1.0
E,basic,27.0,35869.994860892686,7.635282246461425,7.0
E,pro,27.0,71179.68556690823,16.552579064317893,8.0
S,max,63.0,56156.274547184505,10.748781368715305,3.0
S,pro,43.0,49957.6299562515,11.960685787605339,3.0
W,pro,30.0,60809.916371747604,11.04919233162177,10.0
W,max,45.0,42194.80833687802,9.93226503034107,3.0
S,pro,42.0,78523.79994731929,16.64334728202091,2.0
S,basic,31.0,53615.12905789875,11.663914923642947,8.0
E,max,61.0,55732.35948004789,14.055732591182043,2.0
W,pro,57.0,55461.58927919315,13.388223990357968,10.0
N,basic,49.0,36568.75489345165,6.280846011356472,7.0
N,basic,58.0,32648.78997760389,8.469652798958926,5.0
S,pro,41.0,53527.06677728187,7.480999130263868,6.0
E,pro,59.0,55560.10194016057,13.268839720699718,7.0
N,basic,51.0,70468.74421697142,19.776665353578437,3.0
N,basic,48.0,57050.89752702759,12.659857530299595,1.0
N,basic,64.0,33945.40239411556,7.998428047953572,8.0
S,basic,19.0,58181.489403738444,11.961803692744533,1.0
E,pro,63.0,62699.56497781813,14.408163397891194,1.0
E,max,38.0,65335.673452043055,12.374430779528007,2.0
N,basic,26.0,55295.19287640517,12.616311034531302,5.0
N,basic,21.0,31965.7220105207,6.070225575038105,3.0
S,max,24.0,67710.54166800066,12.918768862554105,10.0
W,basic,30.0,39310.32263750513,8.34013571009669,3.0
W,pro,31.0,58895.79350509603,11.893036295489035,9.0
S,basic,52.0,26693.650075137215,2.1045968115616165,1.0
W,pro,24.0,61758.94270747203,16.745272215633502,7.0
W,basic,25.0,38512.498055535536,8.22558040794279,1.0
S,basic,54.0,66523.36284896973,10.158285720960631,8.0
E,pro,28.0,76746.68576571885,17.751234298486494,7.0
S,pro,58.0,67826.70191642034,13.756113455883279,7.0
N,pro,42.0,32758.841450256576,7.209316898879393,6.0
E,pro,24.0,36112.6752240484,8.885875697567386,3.0
N,pro,32.0,37210.90885370227,5.9015551155888994,9.0
E,pro,21.0,60206.57062882641,6.403699388149581,9.0
W,basic,44.0,55448.12388589959,11.140065454489513,8.0
W,pro,33.0,52638.25002602261,11.262276189406851,7.0
S,basic,32.0,54899.19785548799,13.235811534116941,6.0
N,basic,50.0,58951.9975048843,10.527193565791974,6.0
W,pro,32.0,60023.08046449662,11.721771653230405,6.0
W,max,54.0,75593.49243107832,16.16800985649147,10.0
W,basic,27.0,49400.65983685367,9.49817123143848,10.0
E,max,40.0,53287.94165555715,10.409384458727855,6.0
E,max,31.0,22386.744745156797,5.23783295800875,8.0
S,pro,48.0,30359.819824657225,4.3305506909460405,4.0
N,basic,60.0,39805.86637530023,11.379856235040116,9.0
S,max,62.0,32402.9880057547,4.886114750706675,5.0
E,pro,59.0,53497.40582005478,11.021434753002572,4.0
S,pro,60.0,65794.35042882313,12.749076702616396,6.0
E,max,46.0,43630.50347934037,7.558819335715227,1.0
E,max,23.0,42868.51138577046,9.892112337234005,9.0
S,pro,48.0,42463.153279994134,10.76235950699582,9.0
W,max,52.0,52091.02909475097,13.576815317065565,9.0
N,basic,45.0,41944.33681173912,9.799117468268069,4.0
S,pro,55.0,56509.11865183424,10.650766113984448,4.0
N,basic,39.0,54613.349424605214,12.892830115577997,4.0
W,pro,61.0,55255.44720952473,8.405906156819707,5.0
S,pro,63.0,61541.11538277721,12.648881387084355,7.0
S,pro,38.0,50541.29489896634,11.394362481697385,1.0
N,basic,52.0,52217.377629028255,11.811266185127838,9.0
E,max,25.0,76445.04287426037,13.221924384715843,7.0
S,basic,44.0,49357.255073682456,7.109254752440266,7.0
N,basic,40.0,62005.33135314187,15.954381885154392,9.0
N,basic,50.0,50835.53489171566,9.370904495645451,10.0
S,pro,35.0,43142.23089604185,5.55755313506701,2.0
E,max,22.0,43147.86905834862,6.37094077084661,9.0
E,max,36.0,37693.992376774535,7.7825458015952185,7.0
W,basic,59.0,50170.26026906494,12.60748935218023,6.0
W,basic,56.0,40927.9170476069,8.38998591259518,2.0
W,basic,59.0,43639.26142439472,11.335296888949676,2.0
W,pro,49.0,68275.32554381268,14.31079347014804,9.0
S,basic,41.0,47979.82998857847,10.739304145633813,8.0
E,pro,50.0,67084.18085941017,15.582246732618383,8.0
S,pro,55.0,53962.649775582155,10.233981858825896,9.0
S,pro,49.0,62906.97147312916,13.364237495289508,10.0
N,basic,22.0,40811.772283837614,7.574264755480463,7.0
W,max,24.0,52180.245027630255,9.34678573109946,3.0
N,basic,38.0,89501.53638587527,19.395082438684636,5.0
N,pro,20.0,62374.13378436354,11.011862906841197,2.0
S,pro,35.0,65008.746836236365,13.338512218755127,9.0
E,max,36.0,53450.93301825986,9.281800061748207,6.0
S,pro,52.0,62808.110616653714,12.554163189583518,9.0
S,pro,58.0,32506.88326354452,5.614230999533205,1.0
E,max,42.0,37168.13798636323,9.786399318973917,6.0
N,basic,49.0,56359.48526599282,11.591226061499327,9.0
N,basic,52.0,62222.669266958765,12.75536464167567,10.0
E,max,55.0,43763.64494347499,12.201358333249255,3.0
E,pro,38.0,47094.91850353608,3.7747760485038677,9.0
W,basic,47.0,44473.32308179493,6.7996999797658315,2.0
S,pro,25.0,47074.174821586515,4.063535279372286,10.0
W,basic,55.0,31874.69806115412,6.483601484461904,2.0
N,pro,50.0,28378.86477538908,6.669977131831151,3.0
N,basic,65.0,48633.35727597191,11.126882817126214,8.0
E,pro,61.0,23783.21443782643,5.401738353125562,1.0
N,basic,52.0,35158.90466323325,5.391777449196402,1.0
N,basic,19.0,39921.422538220155,11.59025490806478,10.0
N,basic,59.0,34018.178232456026,7.509830765434879,5.0
S,pro,45.0,53368.89292690208,10.244395910396117,5.0
S,pro,64.0,43088.23523531459,6.463890446476679,2.0
E,max,32.0,48548.86973818209,10.635696917282342,5.0
W,basic,53.0,34590.225130420295,6.017066307405513,8.0
S,pro,24.0,38594.53581458411,6.897209990281107,9.0
N,max,57.0,57393.667246096,11.967536051313264,1.0
E,basic,38.0,55139.13210031504,11.535500529052385,1.0
N,pro,21.0,42699.701806256446,6.967215124547492,2.0
S,pro,42.0,55118.899144528936,13.597017606760359,2.0
S,pro,19.0,52461.354317778314,8.552004323750662,8.0
S,pro,40.0,52023.911429142485,8.232580171551731,4.0
N,basic,62.0,73540.3729431366,15.383038387467058,6.0
E,max,32.0,43593.77747183047,9.030389118500866,8.0
E,basic,29.0,55885.005190233074,11.371471216758932,2.0
E,max,46.0,55904.19806503204,10.410077700124003,7.0
W,max,32.0,46059.53929907273,9.347095031423635,10.0
S,pro,26.0,32086.073331239335,5.339704034537003,5.0
E,max,24.0,59909.056038103445,8.73151428861736,4.0
S,pro,27.0,53459.63312241481,12.208308694243195,2.0
N,max,48.0,50260.9496643315,8.07015198936671,5.0
W,basic,31.0,49849.65587646978,9.555469206121074,10.0
E,pro,19.0,49803.451769098465,11.465119063610825,8.0
W,pro,62.0,36056.4570801871,7.300804419079357,8.0
W,max,56.0,53830.510501143006,16.29093078792896,5.0
W,pro,27.0,22384.662243410872,1.7172931209994466,10.0
N,basic,32.0,49018.0470525456,8.345200022877846,9.0
N,basic,22.0,26945.876090105077,5.602741216244769,9.0
N,pro,53.0,44089.3082663133,11.56674276787819,6.0
S,pro,47.0,60081.44915128517,11.553639964748628,4.0
E,pro,61.0,45445.19943033974,6.25924299226724,3.0
S,pro,19.0,42122.570700685676,10.74340271257948,7.0
E,max,51.0,57004.73173807202,9.588535209365702,6.0
W,basic,25.0,45245.94356332583,8.682313618615527,7.0
N,basic,38.0,43152.7507125601,10.422081476693588,9.0
E,max,57.0,43358.96544483405,7.360142406651059,3.0
N,basic,47.0,71924.14898390435,13.507228361332766,3.0
N,basic,65.0,59198.135948340045,12.839798242128765,8.0
E,max,59.0,56434.65784942076,10.90297684622118,7.0
E,max,39.0,31358.165896761508,6.867071722577849,8.0
S,pro,52.0,58484.626067872276,9.82503831472948,6.0
S,pro,63.0,29790.434057927247,5.739917631738698,5.0
W,max,30.0,56362.85611535433,9.10755227137977,7.0
S,max,64.0,32422.667985224212,3.3867064836712033,2.0
N,pro,18.0,78434.05575843462,19.21429993668229,4.0
N,pro,41.0,23880.787963838662,5.699686294382898,5.0
N,pro,60.0,67453.56934048397,15.337801187977453,3.0
W,pro,44.0,61134.292633638164,10.304049020421573,10.0
N,basic,47.0,22483.711702184897,4.451456107971334,7.0
W,basic,42.0,45495.17922676874,8.699441053397024,5.0
N,pro,21.0,70763.30305533895,11.321758443488427,9.0
S,pro,28.0,66134.10448987396,14.329885853225692,3.0
E,max,44.0,24215.375310457926,3.4090414710838863,5.0
S,pro,37.0,41285.73614511557,7.861113911088,7.0
S,max,46.0,31477.764748824007,3.2705711209717694,2.0
N,basic,52.0,33707.49189166032,8.736359937506005,10.0
S,max,32.0,39440.55106074205,9.41529661978371,9.0
N,max,27.0,76683.13579745486,16.13006120154962,10.0
N,basic,60.0,51060.3130427538,8.402026037358095,6.0
W,basic,46.0,45668.55694096174,8.064388475806217,6.0
S,max,29.0,44031.53731786523,11.258465732235878,7.0
S,max,44.0,59039.11438291338,11.262676408667524,6.0
E,max,24.0,59409.84946496037,12.424087959797784,2.0
W,basic,53.0,35256.481518677654,7.34100783360515,5.0
S,basic,32.0,71047.99279274743,11.980601242575968,8.0
S,pro,65.0,32797.52683041127,9.616138658301905,8.0
E,max,34.0,44879.71279285856,5.016322069990997,4.0
W,max,58.0,55790.71141279394,11.614177888210204,6.0
E,max,60.0,74689.2264666968,14.770758948329043,9.0
N,pro,25.0,43837.96538938572,5.539956183471412,2.0
N,max,49.0,53316.84751319585,11.335515976842096,3.0
W,basic,34.0,68562.50826574073,14.760906712547333,2.0
E,max,23.0,58374.73670405056,11.786387311102786,1.0
W,basic,43.0,65931.31623046445,11.538868355156252,2.0
W,basic,36.0,64597.34326496587,13.827560823161091,4.0
S,basic,36.0,52922.43213250597,12.822083031809115,9.0
N,basic,22.0,58485.39331425124,12.147604893974359,8.0
W,pro,34.0,62772.19514822414,16.01056053642689,9.0
E,basic,51.0,48607.26518869216,11.448194453593345,8.0
E,max,33.0,72995.95737997149,16.146904594095417,5.0
E,pro,59.0,20000.0,6.789706256923047,9.0
S,max,36.0,35215.69938074515,5.729622965241957,9.0
S,basic,22.0,70680.19156941884,13.103008117189018,3.0
E,pro,57.0,55429.844807673464,12.12677246592664,10.0
S,pro,41.0,39367.11159931032,8.92202692504139,6.0
E,max,25.0,54698.459523398364,13.96839721905559,10.0
W,max,29.0,65327.887364968905,15.367417818625453,1.0
W,max,60.0,40647.4135253672,8.492164582505934,8.0
S,max,31.0,60550.15361179864,12.560537683992036,3.0
S,pro,38.0,47202.01349491354,8.904777880665183,8.0
W,pro,53.0,47334.41144840127,8.754526080092129,1.0
S,pro,49.0,47998.76598206139,8.71575653748962,2.0
W,basic,64.0,65709.89907795026,14.971605590783707,7.0
N,pro,57.0,32247.225674999092,5.531410310387988,7.0
S,pro,31.0,43529.70125780186,8.022098932684713,9.0
E,max,60.0,58979.294957565326,12.142482647230578,2.0
W,basic,44.0,30760.20251061828,5.157549604611235,7.0
W,pro,28.0,25333.75102796631,4.642880049574359,1.0
N,basic,32.0,57579.367044440296,7.187324916981224,7.0
E,pro,37.0,49069.81920531513,10.602295159067872,2.0
E,max,20.0,46840.287190668845,8.801968964202402,10.0
N,basic,20.0,51183.01842993511,10.669706448381366,9.0
W,pro,46.0,34467.64403505057,7.684926017809779,4.0
E,pro,57.0,92737.62742023473,14.897658737576508,6.0
W,pro,25.0,34289.09685133278,11.732925267701273,6.0
N,basic,24.0,42520.46604356633,8.907230782308499,8.0
E,max,51.0,27727.5383981181,6.0050665314667375,9.0
S,pro,50.0,42812.48790138187,5.113399783424486,6.0
E,max,53.0,71942.69068315922,15.77269997196848,2.0
E,max,61.0,49333.785412889316,10.849545664479443,4.0
E,max,24.0,57971.830858647314,11.05124123450687,8.0
S,basic,42.0,41799.00121373894,9.049981677988018,7.0
E,max,46.0,76245.41546857433,18.027243773474506,1.0
S,pro,44.0,51508.09511288387,9.861839279012976,6.0
W,pro,28.0,30325.66938411397,4.502508151339297,4.0
S,basic,31.0,60599.61697787943,15.040956082229803,5.0
S,max,54.0,43505.90372902501,9.501885233049457,2.0
S,pro,63.0,58154.19953363697,11.554841366099412,5.0
S,max,31.0,51137.19066219752,15.114488374029662,5.0
W,basic,42.0,53001.61860764941,11.209253433801658,4.0
S,pro,51.0,51098.0188723795,10.16528417617594,3.0
W,pro,53.0,35467.05221698527,7.919903320792832,3.0
E,max,49.0,26516.20385394192,4.794498722892534,1.0
W,max,59.0,63683.696544409264,13.458510743021034,5.0
N,basic,45.0,47013.209707013106,9.993100742482147,5.0
W,basic,18.0,53328.92111787346,9.643267982435518,2.0
W,pro,28.0,42085.83416014113,8.184837117996045,4.0
E,max,58.0,20000.0,4.903400890327389,2.0
E,pro,58.0,29887.960755334687,7.022917837743871,8.0
E,max,30.0,69969.52092518724,15.435928337882896,6.0
S,max,35.0,37258.791150305064,9.295636596962051,1.0
E,pro,33.0,43295.84594494803,9.428137290442734,8.0
N,basic,54.0,27024.563330724166,6.7066433574353885,7.0
N,max,20.0,41115.144793755164,7.726653626658453,8.0
E,pro,40.0,43437.896219605034,8.435027525495352,1.0
S,max,44.0,45697.98510990997,11.473183146147196,10.0
W,max,39.0,47912.04388864421,5.884176859519559,5.0
S,max,45.0,39541.00242178145,8.89563334069346,7.0
W,pro,52.0,40393.42035088149,14.642297858047549,1.0
W,pro,54.0,48797.932760769894,6.290949190401307,5.0
W,pro,34.0,53841.76238045191,13.99522652561118,10.0
W,pro,52.0,46865.36268293985,6.076643988575854,2.0
N,basic,54.0,75131.79840852538,15.956444776072146,5.0
N,basic,59.0,52070.56563318778,13.85602175982663,8.0
N,pro,39.0,51403.22067575091,13.436606740496122,5.0
S,pro,23.0,39142.403936393246,6.186236150235047,5.0
N,pro,53.0,64383.58941482443,10.437987581806242,1.0
N,basic,47.0,33620.00383390808,4.001003160743706,5.0
N,pro,51.0,24697.906332112478,6.516710697130347,8.0
W,pro,52.0,34336.32475938504,6.22125904848143,1.0
S,basic,63.0,58246.37831726109,11.789564101312148,3.0
E,max,64.0,31790.1441455827,6.997543181161085,8.0
S,pro,37.0,68360.91233143354,14.609800310799478,5.0
E,basic,19.0,48609.94132807823,10.90480694080832,8.0
W,basic,34.0,26205.304505933236,5.596078712350692,8.0
S,pro,20.0,45508.0272648937,5.994101133870569,8.0
E,max,65.0,75692.86409981964,18.150499734718796,8.0
N,basic,54.0,36038.42731603909,1.8128247485457836,7.0
S,pro,42.0,29290.022180789634,8.42492062209659,4.0
N,pro,51.0,56619.887812097164,10.210932138765395,1.0
S,pro,38.0,68526.00385491105,13.400613294456,1.0
S,max,58.0,64174.97906204242,11.87847521974734,3.0
E,pro,51.0,44001.08580263733,8.147081559020672,10.0
S,pro,54.0,51741.97908572199,10.389239346969545,2.0
S,pro,30.0,53802.4682883635,10.28327171076632,3.0
